farm_id,R1_freq,R2_freq,R1_energy,R2_energy
0,0.2551457207301071,0.1384334964931833,0.22944594460845852,0.28462773734845465
1,0.21231496561339588,0.16011851715264083,0.18341861562870027,0.3007210966731799
2,0.2423523787125712,0.23274607507941336,0.5145119858653076,0.3805311037059635
3,0.23865732592621072,0.15596621797805776,0.19510952415631652,0.31165910243762934
4,0.5278744388224772,0.26667645077284696,0.6206805153176899,0.449616594030368
5,0.28664159675752376,0.1097437968571761,0.4783177714108055,0.21702805259615277
6,0.10665964804306874,0.25029410561908266,0.14862885232156825,0.3541843106762389
7,0.254702156449377,0.12874199926529295,0.45741108551927545,0.23871123658141102
8,0.5200748537708697,0.23628532655081932,0.5748516357334834,0.4317880217833371
9,0.27027382714513215,0.13217495529671558,0.5061776128297713,0.2049940909344152
10,0.2712448287653863,0.05698144629376526,0.349851922811946,0.10014555162335963
11,0.25436236208129165,0.14009831103641404,0.44084181832382047,0.22186207926682483
12,0.4447826664988086,0.5974442700670308,0.7080169300257504,0.7566964737861602
13,0.3029529887530465,0.12279901427431722,0.5304326750478318,0.2594261699688284
14,0.15879492639752862,0.23966613580707588,0.26780275899316675,0.4201093531776802
15,0.23980148397222997,0.1947060054556807,0.5293795695553385,0.35931683672065834
16,0.2641335478576391,0.12178651676209486,0.4521368885697438,0.21091051466605867
17,0.2739827341744091,0.23432538050369098,0.500279265478666,0.3963378033175578
18,0.24979196086043548,0.1302919627519098,0.45502870638830817,0.24942415269671794
19,0.19710533361573504,0.15084729126052332,0.19218657186742535,0.27611428744573263
20,0.26713162395475143,0.11934124627782558,0.4418513417188969,0.19839008665304958
21,0.4343567608448399,0.6528233952228804,0.4001093134320938,0.7885285494048208
22,0.2888848093832553,0.24309556071587812,0.485330978501093,0.384806672704473
23,0.25825800467782406,0.12806222857132332,0.4604835288660079,0.2322747205209798
24,0.279463535349165,0.08844589082805816,0.2903149412143686,0.20949519739626712
25,0.2857955964935489,0.28233617298511876,0.42940622396354244,0.4475103727822726
26,0.271718750037378,0.22805965915448081,0.5029916776533232,0.38237382828956623
27,0.25616363978345164,0.1420743633347538,0.4010852200305824,0.16919659932544823
28,0.23873506502376865,0.19299012419595724,0.17015371788180392,0.3535312431913488
29,0.2700776169062476,0.2660735774537845,0.44195981101050374,0.4191573409959677
30,0.28697721983549024,0.1734131727075098,0.47205797337061867,0.29478076403247133
31,0.2476798136179815,0.17529541371530083,0.5169575022873268,0.32361894923375206
32,0.4410795135088899,0.3132052393127865,0.5461139649527323,0.45681198714569543
33,0.46119579482045525,0.2282749054613818,0.41089555337963823,0.35793476639295896
34,0.43695940673757167,0.8603191420995893,0.7104737142522572,0.9353577622392741
35,0.5647534500874425,0.11973101673286171,0.5900269546483001,0.21429439660546343
36,0.2816923539801192,0.30882190661556874,0.5363477210360161,0.4862391354988492
37,0.2849622988836454,0.18584951870247318,0.27258465465318665,0.3389694340281701
38,0.26955524336831793,0.20981923237690894,0.2031394463365529,0.4143973502772142
39,0.41056867088811355,0.8172309304203619,0.8251880692343326,0.9653100590320228
40,0.3281363359283122,0.14736448171430877,0.48054565376619635,0.23041926173014057
41,0.4459663858300547,0.5987004350447122,0.7065999746317567,0.8073140104432087
42,0.4113078454313288,0.8653759198943194,0.8279400083921439,0.9599754660413269
43,0.292969022528702,0.154316558094523,0.40979096052325237,0.21585538898791654
44,0.12998175744297139,0.09217580819112989,0.0764537622160291,0.21029071306270417
45,0.43695940673757167,0.8603191420995893,0.7104737142522572,0.9353577622392741
46,0.4424601359367524,0.8192277783095712,0.5675332406263685,0.9010340381341797
47,0.4693773057917945,0.4603169716509468,0.6648521570894478,0.5998913116210849
48,0.2679485034626164,0.20823350095582946,0.508091765066151,0.3560285701313485
49,0.2630709464670464,0.25944953119876424,0.4902745812534393,0.40870749654799887
50,0.18775399175984417,0.13122242497897998,0.1955994988616378,0.2502049991006705
51,0.28377660991183234,0.16692735429468092,0.4764875969811977,0.2861200011216755
52,0.44882345348578295,0.8309225324667383,0.5860082391508173,0.90819054697874
53,0.2861297323080805,0.14334579174998138,0.4746550601582563,0.2553813543314869
54,0.2425683870736924,0.14776570849628412,0.5173488890204264,0.2857636148277011
55,0.2774610140410405,0.1406004588376419,0.47711015285397007,0.25317848053928027
56,0.2923997279092216,0.47192236535891846,0.4552704211348439,0.7785276476015754
57,0.19639960496052564,0.5989586284865617,0.3396226154644723,0.7940279365638035
58,0.2235606212546849,0.21575672555351505,0.4527581915637159,0.36671382229098165
59,0.2527873264650842,0.14134843135445593,0.41285292189828543,0.16710630813347682
60,0.2620495578964343,0.134716645919716,0.408740019048236,0.17869693598397063
61,0.2563169297659461,0.1417567284478043,0.42483413420765603,0.1917137373483003
62,0.4091883784882571,0.7873533916107472,0.7563103164764481,0.9267749473410622
63,0.17281094673381023,0.11950507126099433,0.02769849186034083,0.21038119952553336
64,0.27466619634722866,0.5150961971545438,0.3895746837019166,0.7146007450554447
